data,pressao_atm,temp_med_dia,umid_relativa,veloc_vento,prec_total,dose,temp_max_dia,temp_min_dia,dia_juliano,dia_semana,data_unix,est_inverno,est_outono,est_primavera,est_verao,dir_vento_E,dir_vento_N,dir_vento_NE,dir_vento_NW,dir_vento_S,dir_vento_SE,dir_vento_SW,dir_vento_W,freq_intern,idade_med,dias_intern_med,idade_mod,dias_intern_mod,freq_intern_1d,freq_intern_2d,freq_intern_3d,freq_intern_4d,freq_intern_5d
2020-05-04,1008.9083333333333,18.133333333333333,69.45833333333333,1.1375,0.0,11.731821,26.1,11.5,125,0,1588550400,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18,66.5,9.5,72.0,10,12.0,20.0,11.0,15.0,10.0
2020-05-05,1005.2125,17.633333333333333,87.58333333333333,1.1875,6.0,3.423101,20.4,15.5,126,1,1588636800,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,63.0,7.0,78.0,0,20.0,11.0,15.0,10.0,13.0
2020-05-06,1011.2416666666667,15.558333333333332,70.20833333333333,1.9749999999999999,0.0,9.201596000000002,18.6,11.8,127,2,1588723200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20,51.0,8.0,51.0,2,11.0,15.0,10.0,13.0,22.0
2020-05-07,1017.8625000000001,13.883333333333333,70.375,1.2583333333333333,0.0,14.751222000000002,20.1,9.2,128,3,1588809600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,60.0,4.0,31.0,0,15.0,10.0,13.0,22.0,29.0
2020-05-08,1018.2416666666667,14.35,74.41666666666667,0.8666666666666667,0.0,14.757827,21.9,9.1,129,4,1588896000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15,46.0,8.0,46.0,4,10.0,13.0,22.0,29.0,17.0
2020-05-09,1014.5083333333333,16.379166666666666,68.83333333333333,0.9333333333333332,0.0,14.73427,25.8,9.2,130,5,1588982400,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,57.5,4.0,0.25,3,13.0,22.0,29.0,17.0,16.0
2020-05-10,1010.3708333333334,18.658333333333335,65.41666666666667,1.2708333333333333,0.0,12.106872,28.0,10.9,131,6,1589068800,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,43.0,8.0,83.0,4,22.0,29.0,17.0,16.0,23.0
2020-05-11,1007.7791666666667,22.079166666666666,58.583333333333336,1.3583333333333334,1.0,11.893170999999999,31.4,15.1,132,0,1589155200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22,59.0,7.5,63.0,3,29.0,17.0,16.0,23.0,17.0
2020-05-12,1009.4916666666667,17.904166666666665,95.33333333333333,0.8708333333333332,37.8,1.2669300000000001,20.0,16.6,133,1,1589241600,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,49.0,6.0,4.0,6,17.0,16.0,23.0,17.0,10.0
2020-05-13,1007.2375000000001,18.066666666666666,94.45833333333333,1.2,3.4000000000000004,2.971962,19.1,16.5,134,2,1589328000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,68.0,4.0,68.0,2,16.0,23.0,17.0,10.0,25.0
